game,category,game+category,time(seconds),released_year,nb_of_runs,main_platform,main_genre,engine,developer,publisher,nb_of_platforms,nb_of_genres
Vs. Castlevania,Any% Easy,Vs. Castlevania - Any% Easy,733,1987,4,Arcade,Platformer,,Konami,Nintendo,1,1
Vs. Castlevania,Any% Hard,Vs. Castlevania - Any% Hard,741,1987,1,Arcade,Platformer,,Konami,Nintendo,1,1
The Legend of Zelda,Any% No Up+A,The Legend of Zelda - Any% No Up+A,1674,1986,326,Nintendo Entertainment System,,,Nintendo,Nintendo,10,
The Legend of Zelda,Any%,The Legend of Zelda - Any%,1656,1986,43,Nintendo Entertainment System,,,Nintendo,Nintendo,10,
The Legend of Zelda,100% No Up+A,The Legend of Zelda - 100% No Up+A,2118,1986,51,Nintendo Entertainment System,,,Nintendo,Nintendo,10,
The Legend of Zelda,100%,The Legend of Zelda - 100%,2042,1986,15,Nintendo Entertainment System,,,Nintendo,Nintendo,10,
The Legend of Zelda,Low%,The Legend of Zelda - Low%,1891,1986,18,Nintendo Entertainment System,,,Nintendo,Nintendo,10,
The Legend of Zelda,Swordless,The Legend of Zelda - Swordless,1946,1986,34,Nintendo Entertainment System,,,Nintendo,Nintendo,10,
The Legend of Zelda,Second Quest No Up+A,The Legend of Zelda - Second Quest No Up+A,2030,1986,23,Nintendo Entertainment System,,,Nintendo,Nintendo,10,
The Legend of Zelda,Second Quest,The Legend of Zelda - Second Quest,1838,1986,12,Nintendo Entertainment System,,,Nintendo,Nintendo,10,
The Legend of Zelda,Second Quest Low%,The Legend of Zelda - Second Quest Low%,2550,1986,8,Nintendo Entertainment System,,,Nintendo,Nintendo,10,
The Legend of Zelda,Second Quest 100%,The Legend of Zelda - Second Quest 100%,2498,1986,9,Nintendo Entertainment System,,,Nintendo,Nintendo,10,
The Legend of Zelda,Second Quest Swordless,The Legend of Zelda - Second Quest Swordless,2239,1986,8,Nintendo Entertainment System,,,Nintendo,Nintendo,10,
Banjo-Kazooie,100%,Banjo-Kazooie - 100%,6992,1998,361,Nintendo 64,3-D Platformer,,Rare,Nintendo / Microsoft,4,1
Banjo-Kazooie,Any%,Banjo-Kazooie - Any%,3581,1998,43,Nintendo 64,3-D Platformer,,Rare,Nintendo / Microsoft,4,1
Banjo-Kazooie,Any% No RBA,Banjo-Kazooie - Any% No RBA,3856,1998,49,Nintendo 64,3-D Platformer,,Rare,Nintendo / Microsoft,4,1
Braid,Any%,Braid - Any%,1481.54,2008,53,PlayStation 3,Puzzle,,,,3,2
Braid,6 Stars,Braid - 6 Stars,1674.703,2008,5,PlayStation 3,Puzzle,,,,3,2
Braid,100%,Braid - 100%,8104.67,2008,4,PlayStation 3,Puzzle,,,,3,2
Crash Team Racing,Any% (No Major Glitches),Crash Team Racing - Any% (No Major Glitches),2946,1999,340,PlayStation 2,,,Naughty Dog,,7,
Crash Team Racing,Any%,Crash Team Racing - Any%,285,1999,30,PlayStation 2,,,Naughty Dog,,7,
Crash Team Racing,101%,Crash Team Racing - 101%,7916,1999,61,PlayStation 2,,,Naughty Dog,,7,
Chip 'n Dale Rescue Rangers 2,Any%,Chip 'n Dale Rescue Rangers 2 - Any%,982,1993,60,Nintendo Entertainment System,,,,,4,
Chip 'n Dale Rescue Rangers 2,Any% (1p2c),Chip 'n Dale Rescue Rangers 2 - Any% (1p2c),703,1993,5,Nintendo Entertainment System,,,,,4,
Chip 'n Dale Rescue Rangers 2,Any% Co-Op,Chip 'n Dale Rescue Rangers 2 - Any% Co-Op,752,1993,11,Nintendo Entertainment System,,,,,4,
Tony Hawk's Underground,Any%,Tony Hawk's Underground - Any%,1969,2003,125,GameCube,Skateboarding,,Neversoft,Activision,6,2
Tony Hawk's Underground,Any% No Warp,Tony Hawk's Underground - Any% No Warp,2161,2003,42,GameCube,Skateboarding,,Neversoft,Activision,6,2
Tony Hawk's Underground,All Story Goals,Tony Hawk's Underground - All Story Goals,3005,2003,14,GameCube,Skateboarding,,Neversoft,Activision,6,2
Tony Hawk's Underground,100%,Tony Hawk's Underground - 100%,4799,2003,6,GameCube,Skateboarding,,Neversoft,Activision,6,2
Resident Evil 4 (Steam),New Game,Resident Evil 4 (Steam) - New Game,4653,2014,149,PC,Action,,Capcom,Capcom,1,2
Resident Evil 4 (Steam),New Game+,Resident Evil 4 (Steam) - New Game+,4338,2014,163,PC,Action,,Capcom,Capcom,1,2
Resident Evil 4 (Steam),Separate Ways,Resident Evil 4 (Steam) - Separate Ways,1369,2014,35,PC,Action,,Capcom,Capcom,1,2
Resident Evil 4 (Steam),Separate Ways+,Resident Evil 4 (Steam) - Separate Ways+,1298,2014,33,PC,Action,,Capcom,Capcom,1,2
Resident Evil 4 (Steam),Assignment Ada,Resident Evil 4 (Steam) - Assignment Ada,270.68,2014,41,PC,Action,,Capcom,Capcom,1,2
Resident Evil 4 (Steam),No Merchant,Resident Evil 4 (Steam) - No Merchant,5245,2014,30,PC,Action,,Capcom,Capcom,1,2
Castlevania III: Dracula's Curse,NES,Castlevania III: Dracula's Curse - NES,902,1989,34,Nintendo Entertainment System,Action,,Konami,Konami,4,1
Castlevania III: Dracula's Curse,Famicom,Castlevania III: Dracula's Curse - Famicom,1562,1989,17,Nintendo Entertainment System,Action,,Konami,Konami,4,1
Castlevania III: Dracula's Curse,NES Second Quest,Castlevania III: Dracula's Curse - NES Second Quest,1491,1989,5,Nintendo Entertainment System,Action,,Konami,Konami,4,1
Castlevania III: Dracula's Curse,FC Second Quest,Castlevania III: Dracula's Curse - FC Second Quest,1558,1989,2,Nintendo Entertainment System,Action,,Konami,Konami,4,1
Sonic Heroes,Team Sonic,Sonic Heroes - Team Sonic,2776,2003,39,GameCube,Action,RenderWare (Version 3.5.0.0),Sonic Team,SEGA,4,1
Sonic Heroes,Team Dark,Sonic Heroes - Team Dark,3066,2003,15,GameCube,Action,RenderWare (Version 3.5.0.0),Sonic Team,SEGA,4,1
Sonic Heroes,Team Rose,Sonic Heroes - Team Rose,1871,2003,36,GameCube,Action,RenderWare (Version 3.5.0.0),Sonic Team,SEGA,4,1
Sonic Heroes,Team Chaotix,Sonic Heroes - Team Chaotix,2323,2003,22,GameCube,Action,RenderWare (Version 3.5.0.0),Sonic Team,SEGA,4,1
Sonic Heroes,Super Hard Mode,Sonic Heroes - Super Hard Mode,2642,2003,9,GameCube,Action,RenderWare (Version 3.5.0.0),Sonic Team,SEGA,4,1
Double Dragon Advance,1P Dragon,Double Dragon Advance - 1P Dragon,1134,2003,5,Game Boy Advance,Beat 'em up,,,,1,1
Double Dragon Advance,1P Double Dragon,Double Dragon Advance - 1P Double Dragon,2012,2003,1,Game Boy Advance,Beat 'em up,,,,1,1
Double Dragon Advance,2P Double Dragon,Double Dragon Advance - 2P Double Dragon,2012,2003,0,Game Boy Advance,Beat 'em up,,,,1,1
Contra,Any%,Contra - Any%,588.65,1988,252,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Low%,Contra - Low%,672,1988,23,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Any% (Japanese Version),Contra - Any% (Japanese Version),569,1988,24,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Low% (Japanese Version),Contra - Low% (Japanese Version),648,1988,5,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Any% (2 Player),Contra - Any% (2 Player),591,1988,14,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Low% (2 Player),Contra - Low% (2 Player),617,1988,3,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Pacifist,Contra - Pacifist,1040,1988,1,Nintendo Entertainment System,,,Konami,Konami,2,
Turok: Evolution,Any%,Turok: Evolution - Any%,6558,2002,2,GameCube,,,,,4,
Contra Hard Corps,Chase/Surrender,Contra Hard Corps - Chase/Surrender,851,1994,28,Sega Genesis,Run and Gun,,Konami,Konami,1,1
Contra Hard Corps,Chase/Fight,Contra Hard Corps - Chase/Fight,906.97,1994,28,Sega Genesis,Run and Gun,,Konami,Konami,1,1
Contra Hard Corps,Lab/Surrender,Contra Hard Corps - Lab/Surrender,984.42,1994,24,Sega Genesis,Run and Gun,,Konami,Konami,1,1
Contra Hard Corps,Lab/Fight,Contra Hard Corps - Lab/Fight,1100,1994,24,Sega Genesis,Run and Gun,,Konami,Konami,1,1
Contra Hard Corps,Hidden Ending,Contra Hard Corps - Hidden Ending,286.28,1994,43,Sega Genesis,Run and Gun,,Konami,Konami,1,1
Contra Hard Corps,100%,Contra Hard Corps - 100%,5534,1994,6,Sega Genesis,Run and Gun,,Konami,Konami,1,1
Donkey Konga,100%,Donkey Konga - 100%,4534,2003,2,GameCube,Rhythm,,Namco,Nintendo,1,1
Donkey Konga,All The Small Things%,Donkey Konga - All The Small Things%,169,2003,8,GameCube,Rhythm,,Namco,Nintendo,1,1
Donkey Konga,The Impression That I Get%,Donkey Konga - The Impression That I Get%,158,2003,4,GameCube,Rhythm,,Namco,Nintendo,1,1
Donkey Konga,On the Road Again%,Donkey Konga - On the Road Again%,150,2003,3,GameCube,Rhythm,,Namco,Nintendo,1,1
Sonic 3 & Knuckles,Sonic,Sonic 3 & Knuckles - Sonic,1797,1994,41,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Tails,Sonic 3 & Knuckles - Tails,1833,1994,15,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Knuckles,Sonic 3 & Knuckles - Knuckles,1421,1994,19,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Co-op/1p2c,Sonic 3 & Knuckles - Co-op/1p2c,1937,1994,5,GameCube,Action,,Sonic Team,SEGA,10,1
Kao the Kangaroo,Any%,Kao the Kangaroo - Any%,2125.85,2000,9,Dreamcast,3D Platformer,,,,2,1
Kao the Kangaroo,100%,Kao the Kangaroo - 100%,4570.8,2000,2,Dreamcast,3D Platformer,,,,2,1
Mega Man X6,All Stages,Mega Man X6 - All Stages,2449,2001,56,GameCube,,,Capcom Production Studio 3,Capcom,8,
Mega Man X6,Any%,Mega Man X6 - Any%,1858,2001,16,GameCube,,,Capcom Production Studio 3,Capcom,8,
Mega Man X6,100%,Mega Man X6 - 100%,4155,2001,10,GameCube,,,Capcom Production Studio 3,Capcom,8,
Arumana no Kiseki,Any%,Arumana no Kiseki - Any%,574,1987,2,Nintendo Entertainment System,,,Konami,Konami,2,
Super Mario Bros.,Any%,Super Mario Bros. - Any%,294.948,1985,1316,Nintendo Entertainment System,Platformer,,Nintendo,Nintendo,11,2
Super Mario Bros.,Warpless,Super Mario Bros. - Warpless,1137.926,1985,294,Nintendo Entertainment System,Platformer,,Nintendo,Nintendo,11,2
Contra: The Alien Wars,Normal,Contra: The Alien Wars - Normal,516,1994,8,Super Game Boy,Action,,Factor 5,Konami,3,1
Contra: The Alien Wars,Hard,Contra: The Alien Wars - Hard,640,1994,2,Super Game Boy,Action,,Factor 5,Konami,3,1
Contra: The Alien Wars,Maniac,Contra: The Alien Wars - Maniac,547,1994,2,Super Game Boy,Action,,Factor 5,Konami,3,1
Contra: The Alien Wars,Easy,Contra: The Alien Wars - Easy,370,1994,6,Super Game Boy,Action,,Factor 5,Konami,3,1
Mega Man 9,Any%,Mega Man 9 - Any%,1889,2008,36,PlayStation 3,,,,,5,
Mega Man 9,Any% (Protoman),Mega Man 9 - Any% (Protoman),1836,2008,6,PlayStation 3,,,,,5,
Sonic Advance,Sonic,Sonic Advance - Sonic,979,2001,9,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Tails,Sonic Advance - Tails,871,2001,6,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Knuckles,Sonic Advance - Knuckles,945,2001,5,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Amy,Sonic Advance - Amy,970,2001,8,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Sonic Advance,Best Ending,Sonic Advance - Best Ending,5056,2001,1,Game Boy Advance,Action,,Sonic Team,SEGA,3,1
Ikaruga,Level 1 - 1CC - Single player,Ikaruga - Level 1 - 1CC - Single player,1279.86,2001,3,GameCube,Shoot 'em up,SEGA Naomi,Treasure,SEGA,6,1
Ikaruga,Level 2 - 1CC - Single player,Ikaruga - Level 2 - 1CC - Single player,1285.15,2001,1,GameCube,Shoot 'em up,SEGA Naomi,Treasure,SEGA,6,1
Ikaruga,Level 3 - 1CC - Single player,Ikaruga - Level 3 - 1CC - Single player,1285.15,2001,0,GameCube,Shoot 'em up,SEGA Naomi,Treasure,SEGA,6,1
Ikaruga,Level 1 - 1CC - Two-player cooperative,Ikaruga - Level 1 - 1CC - Two-player cooperative,1285.15,2001,0,GameCube,Shoot 'em up,SEGA Naomi,Treasure,SEGA,6,1
Ikaruga,Level 2 - 1CC - Two-player cooperative,Ikaruga - Level 2 - 1CC - Two-player cooperative,1285.15,2001,0,GameCube,Shoot 'em up,SEGA Naomi,Treasure,SEGA,6,1
Ikaruga,Level 3 - 1CC - Two-player cooperative,Ikaruga - Level 3 - 1CC - Two-player cooperative,1285.15,2001,0,GameCube,Shoot 'em up,SEGA Naomi,Treasure,SEGA,6,1
Ikaruga,Double Play - 1CC,Ikaruga - Double Play - 1CC,121301,2001,1,GameCube,Shoot 'em up,SEGA Naomi,Treasure,SEGA,6,1
Chrono Trigger,Any% No LSS,Chrono Trigger - Any% No LSS,10037,1995,41,Super Nintendo,JRPG,,,Squaresoft,5,2
Chrono Trigger,Any%,Chrono Trigger - Any%,8738,1995,10,Super Nintendo,JRPG,,,Squaresoft,5,2
Chrono Trigger,100% (All Quests),Chrono Trigger - 100% (All Quests),16357,1995,14,Super Nintendo,JRPG,,,Squaresoft,5,2
Chrono Trigger,100% Glitchless,Chrono Trigger - 100% Glitchless,18452,1995,24,Super Nintendo,JRPG,,,Squaresoft,5,2
Chrono Trigger,New Game +,Chrono Trigger - New Game +,379.9,1995,17,Super Nintendo,JRPG,,,Squaresoft,5,2
Castlevania: Bloodlines,Any% John,Castlevania: Bloodlines - Any% John,1660,1994,9,Sega Genesis,Platformer,,Konami,Konami,5,1
Castlevania: Bloodlines,Any% Eric,Castlevania: Bloodlines - Any% Eric,1668,1994,22,Sega Genesis,Platformer,,Konami,Konami,5,1
Castlevania: Bloodlines,Any% John (JP),Castlevania: Bloodlines - Any% John (JP),1727,1994,8,Sega Genesis,Platformer,,Konami,Konami,5,1
Castlevania: Bloodlines,Any% Eric (JP),Castlevania: Bloodlines - Any% Eric (JP),1675,1994,7,Sega Genesis,Platformer,,Konami,Konami,5,1
X-Men 2: Clone Wars,Any%,X-Men 2: Clone Wars - Any%,1251,1995,12,Sega Genesis,Platformer,,Headgames,SEGA,1,1
X-Men 2: Clone Wars,Single-Character,X-Men 2: Clone Wars - Single-Character,1866,1995,8,Sega Genesis,Platformer,,Headgames,SEGA,1,1
Comix Zone,Any%,Comix Zone - Any%,551,1995,30,Sega Genesis,,,,,8,
Comix Zone,Low%,Comix Zone - Low%,893,1995,3,Sega Genesis,,,,,8,
The Legend of Zelda: Oracle of Seasons,All Essences,The Legend of Zelda: Oracle of Seasons - All Essences,5837,2001,71,Game Boy Color,Action-adventure,,Capcom,Nintendo,5,1
The Legend of Zelda: Oracle of Seasons,Any%,The Legend of Zelda: Oracle of Seasons - Any%,2886,2001,8,Game Boy Color,Action-adventure,,Capcom,Nintendo,5,1
Mega Man X,Any%,Mega Man X - Any%,1854,1993,208,Super Nintendo,Platformer,,Capcom,Capcom,5,1
Mega Man X,100%,Mega Man X - 100%,2094.15,1993,410,Super Nintendo,Platformer,,Capcom,Capcom,5,1
Shovel Knight,Any%,Shovel Knight - Any%,1843,2014,347,Wii U,Platformer,,Yacht Club Games,Yacht Club Games,9,1
Shovel Knight,Low%,Shovel Knight - Low%,1973,2014,54,Wii U,Platformer,,Yacht Club Games,Yacht Club Games,9,1
Shovel Knight,NG+,Shovel Knight - NG+,1494,2014,28,Wii U,Platformer,,Yacht Club Games,Yacht Club Games,9,1
Shovel Knight,100%,Shovel Knight - 100%,3483,2014,19,Wii U,Platformer,,Yacht Club Games,Yacht Club Games,9,1
Metal Slug X,Medium,Metal Slug X - Medium,944,1999,59,Wii Virtual Console,Run'n'gun,,snk,,11,1
Metal Slug X,Easy,Metal Slug X - Easy,910,1999,34,Wii Virtual Console,Run'n'gun,,snk,,11,1
Metal Slug X,Hard,Metal Slug X - Hard,1379,1999,10,Wii Virtual Console,Run'n'gun,,snk,,11,1
Metal Slug X,Very Hard,Metal Slug X - Very Hard,1454,1999,9,Wii Virtual Console,Run'n'gun,,snk,,11,1
Tails in Sonic the Hedgehog,Beat the Game,Tails in Sonic the Hedgehog - Beat the Game,1244,2008,2,Sega Genesis,,,,,1,
Castlevania III: Dracula's Curse,NES,Castlevania III: Dracula's Curse - NES,902,1989,34,Nintendo Entertainment System,Action,,Konami,Konami,4,1
Castlevania III: Dracula's Curse,Famicom,Castlevania III: Dracula's Curse - Famicom,1562,1989,17,Nintendo Entertainment System,Action,,Konami,Konami,4,1
Castlevania III: Dracula's Curse,NES Second Quest,Castlevania III: Dracula's Curse - NES Second Quest,1491,1989,5,Nintendo Entertainment System,Action,,Konami,Konami,4,1
Castlevania III: Dracula's Curse,FC Second Quest,Castlevania III: Dracula's Curse - FC Second Quest,1558,1989,2,Nintendo Entertainment System,Action,,Konami,Konami,4,1
Castlevania: Order of Ecclesia,Shanoa Any%,Castlevania: Order of Ecclesia - Shanoa Any%,2939,2008,10,Nintendo DS,,,,,2,
Castlevania: Order of Ecclesia,Albus Any%,Castlevania: Order of Ecclesia - Albus Any%,1636,2008,5,Nintendo DS,,,,,2,
Shovel Knight,Any%,Shovel Knight - Any%,1843,2014,347,Wii U,Platformer,,Yacht Club Games,Yacht Club Games,9,1
Shovel Knight,Low%,Shovel Knight - Low%,1973,2014,54,Wii U,Platformer,,Yacht Club Games,Yacht Club Games,9,1
Shovel Knight,NG+,Shovel Knight - NG+,1494,2014,28,Wii U,Platformer,,Yacht Club Games,Yacht Club Games,9,1
Shovel Knight,100%,Shovel Knight - 100%,3483,2014,19,Wii U,Platformer,,Yacht Club Games,Yacht Club Games,9,1
The Legend of Zelda: The Minish Cap,Any%,The Legend of Zelda: The Minish Cap - Any%,5652,2004,179,Game Boy Advance,Action-adventure,,Capcom,Nintendo,4,1
The Legend of Zelda: The Minish Cap,100%,The Legend of Zelda: The Minish Cap - 100%,14281,2004,10,Game Boy Advance,Action-adventure,,Capcom,Nintendo,4,1
The Legend of Zelda: The Minish Cap,Glitchless,The Legend of Zelda: The Minish Cap - Glitchless,8292,2004,24,Game Boy Advance,Action-adventure,,Capcom,Nintendo,4,1
The Legend of Zelda: Majora's Mask,Any%,The Legend of Zelda: Majora's Mask - Any%,1485,2000,307,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,100%,The Legend of Zelda: Majora's Mask - 100%,15468,2000,68,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,All Masks,The Legend of Zelda: Majora's Mask - All Masks,5048,2000,53,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,All Dungeons,The Legend of Zelda: Majora's Mask - All Dungeons,2440,2000,46,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,Defeat Majora,The Legend of Zelda: Majora's Mask - Defeat Majora,162967,2000,19,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,AFR,The Legend of Zelda: Majora's Mask - AFR,6604,2000,28,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,TDC,The Legend of Zelda: Majora's Mask - TDC,5845,2000,5,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,Glitchless,The Legend of Zelda: Majora's Mask - Glitchless,8890,2000,142,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,Monthlies,The Legend of Zelda: Majora's Mask - Monthlies,865,2000,3,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
Super Monkey Ball 2,Story Mode,Super Monkey Ball 2 - Story Mode,1417,2002,219,GameCube,,,,,2,
Super Monkey Ball 2,Beginner,Super Monkey Ball 2 - Beginner,170,2002,113,GameCube,,,,,2,
Super Monkey Ball 2,Advanced,Super Monkey Ball 2 - Advanced,195,2002,63,GameCube,,,,,2,
Super Monkey Ball 2,Expert,Super Monkey Ball 2 - Expert,374,2002,55,GameCube,,,,,2,
Super Monkey Ball 2,Master,Super Monkey Ball 2 - Master,170,2002,49,GameCube,,,,,2,
Super Monkey Ball 2,All Difficulties,Super Monkey Ball 2 - All Difficulties,1841,2002,12,GameCube,,,,,2,
Super Monkey Ball 2,Story Mode Pauseless,Super Monkey Ball 2 - Story Mode Pauseless,1817,2002,40,GameCube,,,,,2,
The Legend of Zelda: Link's Awakening,Warpless,The Legend of Zelda: Link's Awakening - Warpless,2519,1993,45,Game Boy Color,,,,,5,
The Legend of Zelda: Link's Awakening,Any%,The Legend of Zelda: Link's Awakening - Any%,81.2,1993,38,Game Boy Color,,,,,5,
The Legend of Zelda: Link's Awakening,100%,The Legend of Zelda: Link's Awakening - 100%,3521,1993,7,Game Boy Color,,,,,5,
The Legend of Zelda: Link's Awakening,All Instruments,The Legend of Zelda: Link's Awakening - All Instruments,829,1993,4,Game Boy Color,,,,,5,
Tiny Toon Adventures,Any%,Tiny Toon Adventures - Any%,751,1991,36,Nintendo Entertainment System,,,,,1,
Castlevania: Harmony of Dissonance,Maxim Any%,Castlevania: Harmony of Dissonance - Maxim Any%,29.36,2002,55,Game Boy Advance,Metroidvania,,Konami,,2,1
Castlevania: Harmony of Dissonance,Maxim All Bosses,Castlevania: Harmony of Dissonance - Maxim All Bosses,593,2002,15,Game Boy Advance,Metroidvania,,Konami,,2,1
Castlevania: Harmony of Dissonance,Maxim No OOB,Castlevania: Harmony of Dissonance - Maxim No OOB,1252,2002,2,Game Boy Advance,Metroidvania,,Konami,,2,1
Castlevania: Harmony of Dissonance,Juste Any%,Castlevania: Harmony of Dissonance - Juste Any%,571,2002,7,Game Boy Advance,Metroidvania,,Konami,,2,1
Contra III: The Alien Wars,Any% Easy,Contra III: The Alien Wars - Any% Easy,732,1992,61,Super Nintendo,,,Konami,,5,
Contra III: The Alien Wars,Any% Normal,Contra III: The Alien Wars - Any% Normal,783,1992,28,Super Nintendo,,,Konami,,5,
Contra III: The Alien Wars,Any% Hard,Contra III: The Alien Wars - Any% Hard,854,1992,24,Super Nintendo,,,Konami,,5,
Castlevania: Symphony of the Night,Alucard,Castlevania: Symphony of the Night - Alucard,619,1997,175,Sega Saturn,Platform-adventure,,Konami Computer Entertainment Tokyo,Konami,9,2
Castlevania: Symphony of the Night,Richter,Castlevania: Symphony of the Night - Richter,308.166,1997,26,Sega Saturn,Platform-adventure,,Konami Computer Entertainment Tokyo,Konami,9,2
Castlevania: Symphony of the Night,Maria,Castlevania: Symphony of the Night - Maria,360.985,1997,34,Sega Saturn,Platform-adventure,,Konami Computer Entertainment Tokyo,Konami,9,2
Gunstar Heroes,Any%,Gunstar Heroes - Any%,1736,1993,51,Wii Virtual Console,,,,,9,
Gunstar Heroes,Any% Co-op,Gunstar Heroes - Any% Co-op,1815,1993,14,Wii Virtual Console,,,,,9,
Tiny Toon Adventures: Buster's Hidden Treasure,Any%,Tiny Toon Adventures: Buster's Hidden Treasure - Any%,1335,1993,9,Sega Genesis,,,,,1,
Tiny Toon Adventures: Buster's Hidden Treasure,All Stages,Tiny Toon Adventures: Buster's Hidden Treasure - All Stages,2259,1993,2,Sega Genesis,,,,,1,
Super Mario Kart,All Cups,Super Mario Kart - All Cups,1834,1992,38,Super Nintendo,,,,,6,
Super Mario Kart,All Tracks,Super Mario Kart - All Tracks,1791,1992,10,Super Nintendo,,,,,6,
Castlevania: Aria of Sorrow,Soma Any% No 0HP,Castlevania: Aria of Sorrow - Soma Any% No 0HP,737,2003,77,Game Boy Advance,Metroidvania,,,,4,1
Castlevania: Aria of Sorrow,Soma Any%,Castlevania: Aria of Sorrow - Soma Any%,464,2003,7,Game Boy Advance,Metroidvania,,,,4,1
Castlevania: Aria of Sorrow,Soma All Bosses,Castlevania: Aria of Sorrow - Soma All Bosses,1085,2003,17,Game Boy Advance,Metroidvania,,,,4,1
Castlevania: Aria of Sorrow,Soma Glitchless,Castlevania: Aria of Sorrow - Soma Glitchless,1589,2003,34,Game Boy Advance,Metroidvania,,,,4,1
Castlevania: Aria of Sorrow,Julius Any%,Castlevania: Aria of Sorrow - Julius Any%,303,2003,8,Game Boy Advance,Metroidvania,,,,4,1
Castlevania: Aria of Sorrow,Julius All Bosses,Castlevania: Aria of Sorrow - Julius All Bosses,811,2003,25,Game Boy Advance,Metroidvania,,,,4,1
Super C,Any%,Super C - Any%,764.15,1990,97,Nintendo Entertainment System,,,,,5,
Super C,Low%,Super C - Low%,853,1990,6,Nintendo Entertainment System,,,,,5,
Super C,Any% (2 Player),Super C - Any% (2 Player),779.55,1990,6,Nintendo Entertainment System,,,,,5,
Super C,Low% (2 Player),Super C - Low% (2 Player),816,1990,1,Nintendo Entertainment System,,,,,5,
Castlevania: Bloodlines,Any% John,Castlevania: Bloodlines - Any% John,1660,1994,9,Sega Genesis,Platformer,,Konami,Konami,5,1
Castlevania: Bloodlines,Any% Eric,Castlevania: Bloodlines - Any% Eric,1668,1994,22,Sega Genesis,Platformer,,Konami,Konami,5,1
Castlevania: Bloodlines,Any% John (JP),Castlevania: Bloodlines - Any% John (JP),1727,1994,8,Sega Genesis,Platformer,,Konami,Konami,5,1
Castlevania: Bloodlines,Any% Eric (JP),Castlevania: Bloodlines - Any% Eric (JP),1675,1994,7,Sega Genesis,Platformer,,Konami,Konami,5,1
Streets of Rage 2,Max,Streets of Rage 2 - Max,1039,1992,57,Sega Genesis,Beat 'em up,,,SEGA,8,3
Streets of Rage 2,Axel,Streets of Rage 2 - Axel,1118,1992,67,Sega Genesis,Beat 'em up,,,SEGA,8,3
Streets of Rage 2,Blaze,Streets of Rage 2 - Blaze,1103,1992,35,Sega Genesis,Beat 'em up,,,SEGA,8,3
Streets of Rage 2,Skate,Streets of Rage 2 - Skate,1076,1992,22,Sega Genesis,Beat 'em up,,,SEGA,8,3
Streets of Rage 2,2 Players,Streets of Rage 2 - 2 Players,1178,1992,29,Sega Genesis,Beat 'em up,,,SEGA,8,3
Bionicle: Tales of The Tohunga,Any%,Bionicle: Tales of The Tohunga - Any%,709,2001,3,Game Boy Advance,Action-adventure,,Saffire Corporation,Lego Software,1,1
Bonk's Revenge (GB),Any%,Bonk's Revenge (GB) - Any%,1181,1994,2,Game Boy Color,,,,,7,
Tomb Raider: The Last Revelation,Any%,Tomb Raider: The Last Revelation - Any%,1556,1999,20,Dreamcast,,,,,3,
Tomb Raider: The Last Revelation,Secrets,Tomb Raider: The Last Revelation - Secrets,5716,1999,3,Dreamcast,,,,,3,
Tomb Raider: The Last Revelation,Max%,Tomb Raider: The Last Revelation - Max%,5716,1999,0,Dreamcast,,,,,3,
Sparkster (SNES),Easy,Sparkster (SNES) - Easy,769,1994,34,Super Nintendo,,,,,1,
Sparkster (SNES),Normal,Sparkster (SNES) - Normal,1117,1994,25,Super Nintendo,,,,,1,
Sparkster (SNES),Hard,Sparkster (SNES) - Hard,1222,1994,8,Super Nintendo,,,,,1,
Super Smash Bros.,Unlock All Characters,Super Smash Bros. - Unlock All Characters,1544.81,1999,26,Nintendo 64,Fighting,,HAL Laboratory,Nintendo,2,1
