,game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher,TAS_time,emulator,time_difference,%_of_difference,Unpopular,Somehow_Popular,Popular,Very_Popular,Young,Somehow_Old,Old,Very_Old,Short,Somehow_Long,Long,Very_Long
124,Star Voyager,Any%,Star Voyager - Any%,1251.0,1986,35,3,Nintendo Entertainment System,Space Simulation,,Acclai,Acclaim,809.53,,441.47,35.2893685051958,1,0,0,0,1,0,0,0,0,0,1,0
125,Ty the Tasmanian Tiger 2: Bush Rescue,Any%,Ty the Tasmanian Tiger 2: Bush Rescue - Any%,2048.0,2004,2,29,GameCube,Platformer,,Krome Studios,Electronic Arts,898.41,BizHawk,1149.59,56.13232421875,0,0,0,1,0,0,1,0,0,0,1,0
126,Donkey Kong Land III,Any%,Donkey Kong Land III - Any%,2053.0,1997,24,12,Game Boy Color,,,,,1871.33,,181.67000000000007,8.84900146127619,0,0,1,0,1,0,0,0,0,0,1,0
127,Lizard,Any%,Lizard - Any%,1118.0,2018,3,8,Nintendo Entertainment System,,,,,1083.98,,34.01999999999998,3.04293381037567,0,0,1,0,1,0,0,0,0,1,0,0
128,Warlock,Any%,Warlock - Any%,1714.0,1995,26,4,Super Nintendo,Action,,Realtime Associates,LJN (SNES),1332.02,,381.98,22.2858809801634,0,1,0,0,1,0,0,0,0,0,1,0
129,Little Red Hood,Any%,Little Red Hood - Any%,510.0,1989,32,4,Nintendo Entertainment System,,,,,334.17,,175.83,34.4764705882353,0,1,0,0,1,0,0,0,1,0,0,0
130,Chiki Chiki Boys,Any%,Chiki Chiki Boys - Any%,999.0,1992,29,7,Sega Genesis,Action,,Capcom,SEGA,921.19,,77.80999999999995,7.78878878878878,0,1,0,0,1,0,0,0,0,1,0,0
131,Cabbage Patch Kids: The Patch Puppy Rescue,Any%,Cabbage Patch Kids: The Patch Puppy Rescue - Any%,384.0,2006,15,5,Game Boy Advance,,,1st Playable Production,D3Publisher,360.6,,23.399999999999977,6.09374999999999,0,1,0,0,1,0,0,0,1,0,0,0
132,The Legend of Zelda: Twilight Princess,Any%,The Legend of Zelda: Twilight Princess - Any%,10344.0,2006,15,205,GameCube,Action-adventure,,Nintendo,Nintendo,9886.77,Dolphin,457.2299999999996,4.42024361948956,0,0,0,1,0,0,0,1,0,0,0,1
133,Club Penguin: Elite Penguin Force,Any%,Club Penguin: Elite Penguin Force - Any%,2052.0,2008,13,16,Nintendo DS,Adventure,,1st Playable Productions,Disney Interactive Studios,1712.28,,339.72,16.5555555555556,0,0,1,0,1,0,0,0,0,0,1,0
134,Metal Gear,Any%,Metal Gear - Any%,1458.0,1988,33,28,Nintendo Entertainment System,,,,,1344.55,FCEUX,113.45000000000005,7.78120713305899,0,0,0,1,0,1,0,0,0,0,1,0
135,Shadow Blasters,Any%,Shadow Blasters - Any%,464.0,1990,31,9,Sega Genesis,Platformer,,Cyclone System,Sage's Creation,431.06,,32.94,7.09913793103448,0,0,1,0,1,0,0,0,1,0,0,0
136,Jumpin' Kid: Jack to Mame no Ki Monogatari,Any%,Jumpin' Kid: Jack to Mame no Ki Monogatari - Any%,411.0,1990,31,6,Nintendo Entertainment System,retro,,nintedo,,332.45,,78.55000000000001,19.1119221411192,0,1,0,0,1,0,0,0,1,0,0,0
137,The Young Indiana Jones Chronicles,Any%,The Young Indiana Jones Chronicles - Any%,674.0,1992,29,4,Nintendo Entertainment System,,,,,650.83,,23.16999999999996,3.43768545994065,0,1,0,0,1,0,0,0,0,1,0,0
138,Comix Zone,Any%,Comix Zone - Any%,551.0,1995,26,30,Sega Genesis,,,,,518.67,Gens,32.33000000000004,5.86751361161525,0,0,0,1,0,0,1,0,1,0,0,0
139,Newer Super Mario Bros. DS,100%,Newer Super Mario Bros. DS - 100%,11584.0,2017,4,2,Nintendo DS,Platformer,,Skawo,Skawo,8140.51,DeSmuME,3443.49,29.726260359116,1,0,0,0,1,0,0,0,0,0,0,1
140,Super Mario 64 DS,Any%,Super Mario 64 DS - Any%,598.0,2004,17,19,Nintendo DS,Platformer,,Nintendo EAD,Nintendo,492.93,DeSmuME,105.07,17.5702341137124,0,0,1,0,1,0,0,0,1,0,0,0
141,The Conduit,Any%,The Conduit - Any%,3614.0,2009,12,3,Wii,,,,,2746.7,Dolphin,867.3000000000002,23.9983397897067,1,0,0,0,1,0,0,0,0,0,0,1
142,Mario & Luigi: Partners in Time,Any%,Mario & Luigi: Partners in Time - Any%,9403.0,2005,16,10,Nintendo DS,,,,,6776.29,DeSmuME,2626.71,27.9348080399872,0,0,1,0,1,0,0,0,0,0,0,1
143,Tinhead,Any%,Tinhead - Any%,2179.0,1993,28,1,Sega Genesis,,,,,1066.24,BizHawk,1112.76,51.0674621385957,1,0,0,0,1,0,0,0,0,0,1,0
144,Pac-Man World,Any%,Pac-Man World - Any%,1549.0,1999,22,2,Game Boy Advance,,,,,1269.52,BizHawk,495.48,28.0725212464589,1,0,0,0,1,0,0,0,0,0,1,0
145,New Super Mario Bros.,Any%,New Super Mario Bros. - Any%,1353.7,2006,15,267,Nintendo DS,,,,,1301.54,,52.16000000000008,3.85314323705401,0,0,0,1,0,0,0,1,0,0,1,0
146,Shinobi Legions,Any%,Shinobi Legions - Any%,1507.0,1995,26,3,Sega Saturn,Action,,SEGA,SEGA,1275.08,BizHawk,231.92000000000007,15.3895155938952,1,0,0,0,1,0,0,0,0,0,1,0
147,Conan: The Mysteries of Time,Any%,Conan: The Mysteries of Time - Any%,560.0,1991,30,2,Nintendo Entertainment System,,,,,299.77,,260.23,46.4696428571429,1,0,0,0,1,0,0,0,1,0,0,0
148,Hagane: The Final Conflict,Any%,Hagane: The Final Conflict - Any%,873.0,1995,26,13,Super Nintendo,,,,,792.84,,80.15999999999997,9.18213058419244,0,0,1,0,1,0,0,0,0,1,0,0
149,Aero the Acro-Bat 2,Any%,Aero the Acro-Bat 2 - Any%,1689.0,1994,27,3,Super Nintendo,,,Iguana,Sunsoft,1390.64,BizHawk,298.3599999999999,17.6648904677324,1,0,0,0,1,0,0,0,0,0,1,0
150,Friday the 13th,Any%,Friday the 13th - Any%,173.0,1989,32,45,Nintendo Entertainment System,,,,,142.93,,30.069999999999997,17.3815028901734,0,0,0,1,0,0,0,1,1,0,0,0
151,Adventures of Lolo 2,Any%,Adventures of Lolo 2 - Any%,1437.0,1990,31,3,Nintendo Entertainment System,,,,,1395.47,,41.52999999999997,2.89004871259568,1,0,0,0,1,0,0,0,0,0,1,0
152,Magic Knight Rayearth,Any%,Magic Knight Rayearth - Any%,1358.0,1995,26,1,Sega Saturn,Action RPG,,,Working Designs,802.0,BizHawk,556.0,40.9425625920471,1,0,0,0,1,0,0,0,0,0,1,0
153,Kiteretsu Daihyakka,Any%,Kiteretsu Daihyakka - Any%,716.0,1990,31,3,Nintendo Entertainment System,,,,,615.0,,101.0,14.1061452513966,1,0,0,0,1,0,0,0,0,1,0,0
154,Formation Z,Any%,Formation Z - Any%,127.0,1985,36,8,Nintendo Entertainment System,Action,,,,111.9,,15.099999999999994,11.8897637795276,0,0,1,0,1,0,0,0,1,0,0,0
155,Super Mario Sunshine,Any%,Super Mario Sunshine - Any%,4419.0,2002,19,1309,GameCube,Platformer,,Nintendo,Nintendo,4112.58,Dolphin,306.4200000000001,6.93414799728446,0,0,0,1,0,0,0,1,0,0,0,1
156,Klonoa: Door to Phantomile,Any%,Klonoa: Door to Phantomile - Any%,2300.0,1997,24,39,PlayStation 2,,,,,2109.14,BizHawk,190.86000000000013,8.29826086956522,0,0,0,1,0,0,0,1,0,0,1,0
157,Barbie Game Girl,Any%,Barbie Game Girl - Any%,535.0,1992,29,30,Game Boy Color,,,,,415.42,,119.57999999999998,22.3514018691589,0,0,0,1,0,0,1,0,1,0,0,0
158,Street Fighter 2010: The Final Fight,Any%,Street Fighter 2010: The Final Fight - Any%,640.0,1990,31,6,Nintendo Entertainment System,,,,,410.22,,229.78,35.903125,0,1,0,0,1,0,0,0,1,0,0,0
159,Zoda's Revenge: StarTropics II,Any%,Zoda's Revenge: StarTropics II - Any%,3563.0,1994,27,12,Nintendo Entertainment System,,,,,3276.92,BizHawk,286.0799999999999,8.02918888577042,0,0,1,0,1,0,0,0,0,0,0,1
160,Crash Bandicoot: The Huge Adventure,Any%,Crash Bandicoot: The Huge Adventure - Any%,2205.0,2002,19,29,Game Boy Advance,,,Vicarious Visions,,1971.57,,233.4300000000001,10.5863945578231,0,0,0,1,0,0,1,0,0,0,1,0
161,Super Mario 4,Any%,Super Mario 4 - Any%,591.0,1997,24,1,Game Boy Player,,,,,525.02,,65.98000000000002,11.1641285956007,1,0,0,0,1,0,0,0,1,0,0,0
162,Cacoma Knight in Bizyland,Any%,Cacoma Knight in Bizyland - Any%,484.0,1992,29,1,Super Nintendo,Puzzle,,Affect,Datam Polystar,332.6,,151.4,31.2809917355372,1,0,0,0,1,0,0,0,1,0,0,0
163,Brandish,Any%,Brandish - Any%,1466.0,1994,27,1,Super Nintendo,Action RPG,,Koei,Nihon Falcom,672.19,,793.81,54.1480218281037,1,0,0,0,1,0,0,0,0,0,1,0
164,SpongeBob SquarePants: SuperSponge,Any%,SpongeBob SquarePants: SuperSponge - Any%,1333.0,2001,20,8,PlayStation 2,,,,,1117.78,,215.22000000000003,16.145536384096,0,0,1,0,1,0,0,0,0,0,1,0
165,Tiny Toon Adventures: Buster's Hidden Treasure,Any%,Tiny Toon Adventures: Buster's Hidden Treasure - Any%,1335.0,1993,28,9,Sega Genesis,,,,,1162.68,,172.31999999999994,12.9078651685393,0,0,1,0,1,0,0,0,0,0,1,0
166,Adventures of Yogi Bear,Any%,Adventures of Yogi Bear - Any%,1600.0,1994,27,2,Super Nintendo,,,,,1361.59,,238.41000000000008,14.900625,1,0,0,0,1,0,0,0,0,0,1,0
167,Kenseiden,Any%,Kenseiden - Any%,380.0,1988,33,11,Sega Master System,,,,,325.34,,54.660000000000025,14.3842105263158,0,0,1,0,1,0,0,0,1,0,0,0
168,Kenseiden,100%,Kenseiden - 100%,888.0,1988,33,2,Sega Master System,,,,,788.7,,99.29999999999995,11.1824324324324,1,0,0,0,1,0,0,0,0,1,0,0
169,Digimon Battle Spirit,Any%,Digimon Battle Spirit - Any%,1035.0,2003,18,12,Game Boy Advance,,,,,839.66,,195.34000000000003,18.8734299516908,0,0,1,0,1,0,0,0,0,1,0,0
170,Lord of the Sword,Any%,Lord of the Sword - Any%,1991.0,1988,33,1,Sega Master System,,,,,814.82,BizHawk,1176.18,59.0748367654445,1,0,0,0,1,0,0,0,0,0,1,0
171,The Ren & Stimpy Show Presents: Stimpy's Invention,Any%,The Ren & Stimpy Show Presents: Stimpy's Invention - Any%,468.0,1993,28,7,Sega Genesis,2D Action Platformer,,BlueSky Software,SEGA,438.13,,29.870000000000005,6.38247863247863,0,1,0,0,1,0,0,0,1,0,0,0
172,Noddy: A Day in Toyland,Any%,Noddy: A Day in Toyland - Any%,1112.0,2006,15,3,Game Boy Advance,Action,,Lucky Jump,Game Factory,1072.19,,39.809999999999945,3.58003597122302,1,0,0,0,1,0,0,0,0,1,0,0
173,Twinkle Tale,Any%,Twinkle Tale - Any%,1130.0,1992,29,4,Sega Genesis,,,Wonder Amusement Studio,,1053.58,,76.42000000000007,6.76283185840709,0,1,0,0,1,0,0,0,0,1,0,0
174,Rolan's Curse II,Any%,Rolan's Curse II - Any%,1449.0,1992,29,2,Game Boy,Action-adventure,,NMK,Sammy,1277.38,,171.6199999999999,11.8440303657695,1,0,0,0,1,0,0,0,0,0,1,0
175,George Foreman's KO Boxing,Any%,George Foreman's KO Boxing - Any%,392.0,1992,29,1,Sega Master System,,,,,284.83,,107.17,27.3392857142857,1,0,0,0,1,0,0,0,1,0,0,0
176,Porky's,Any%,Porky's - Any%,9.487,1983,38,5,Atari 2600,,,,,7.99,,1.497,15.7794877200379,0,1,0,0,1,0,0,0,1,0,0,0
177,Rocky,Any%,Rocky - Any%,228.0,1987,34,2,Sega Master System,Boxing,,SEGA,SEGA,181.95,,46.05000000000001,20.1973684210526,1,0,0,0,1,0,0,0,1,0,0,0
178,Psycho Fox,Any%,Psycho Fox - Any%,155.0,1989,32,3,Sega Master System,,,,,131.87,,23.129999999999995,14.9225806451613,1,0,0,0,1,0,0,0,1,0,0,0
179,Master of Darkness,Any%,Master of Darkness - Any%,1115.0,1992,29,12,Sega Master System,Platformer,,SIMS,SEGA,1072.31,BizHawk,42.690000000000055,3.82869955156951,0,0,1,0,1,0,0,0,0,1,0,0
180,El Viento,Any%,El Viento - Any%,750.0,1991,30,5,Sega Genesis,Platformer,,Wolf Team,SEGA,580.6,,169.39999999999998,22.5866666666667,0,1,0,0,1,0,0,0,0,1,0,0
181,Holy Diver,Any%,Holy Diver - Any%,1032.0,1989,32,7,Nintendo Entertainment System,,,,,866.44,,165.55999999999997,16.0426356589147,0,1,0,0,1,0,0,0,0,1,0,0
182,Paper Mario,Any%,Paper Mario - Any%,5966.0,2000,21,96,Nintendo 64,RPG,,Intelligent Systems,Nintendo,5440.15,,525.8500000000004,8.81411330874959,0,0,0,1,0,0,0,1,0,0,0,1
183,Paper Mario,All Cards,Paper Mario - All Cards,9931.0,2000,21,95,Nintendo 64,RPG,,Intelligent Systems,Nintendo,9033.83,BizHawk,897.1700000000001,9.03403484039875,0,0,0,1,0,0,0,1,0,0,0,1
184,Metroid Prime Hunters,Any%,Metroid Prime Hunters - Any%,4167.0,2006,15,2,Nintendo DS,,,,,2830.32,DeSmuME,1336.68,32.0777537796976,1,0,0,0,1,0,0,0,0,0,0,1
185,Target Earth,Any%,Target Earth - Any%,1475.0,1990,31,1,Sega Genesis,,,,,1384.6,,90.40000000000008,6.12881355932204,1,0,0,0,1,0,0,0,0,0,1,0
186,F-Zero,Knight League,F-Zero - Knight League,744.0,1990,31,79,Super Nintendo,Racing,,,,736.89,,7.110000000000014,0.955645161290324,0,0,0,1,0,0,0,1,0,1,0,0
187,F-Zero,Queen League,F-Zero - Queen League,700.0,1990,31,38,Super Nintendo,Racing,,,,687.87,lsnes,12.129999999999995,1.73285714285714,0,0,0,1,0,0,0,1,0,1,0,0
188,Noddy and the Birthday Party,Any%,Noddy and the Birthday Party - Any%,473.0,2000,21,8,Game Boy Color,Platform Game,,Tiertex Design Studios,BBC Multimedia,453.68,,19.319999999999997,4.0845665961945,0,0,1,0,1,0,0,0,1,0,0,0
189,Kung-Fu Master,Any%,Kung-Fu Master - Any%,246.0,1990,31,18,Game Boy Player,,,,,198.44,,47.56,19.3333333333333,0,0,1,0,1,0,0,0,1,0,0,0
190,Mega Man X6,Any%,Mega Man X6 - Any%,1858.0,2001,20,16,GameCube,,,Capcom Production Studio 3,Capcom,1534.02,PCSX,323.98,17.4370290635092,0,0,1,0,1,0,0,0,0,0,1,0
191,Mega Man X6,100%,Mega Man X6 - 100%,4155.0,2001,20,10,GameCube,,,Capcom Production Studio 3,Capcom,3407.18,PCSX,747.8200000000002,17.9980746089049,0,0,1,0,1,0,0,0,0,0,0,1
192,Final Fantasy Tactics Advance,Any%,Final Fantasy Tactics Advance - Any%,14215.0,2003,18,21,Game Boy Advance,RPG,,Square,Square,10237.76,,3977.24,27.9791769257826,0,0,0,1,1,0,0,0,0,0,0,1
193,Sabrina the Teenage Witch: Potion Commotion,Any%,Sabrina the Teenage Witch: Potion Commotion - Any%,1937.0,2002,19,3,Game Boy Advance,,,,,1444.71,,492.29,25.4150748580279,1,0,0,0,1,0,0,0,0,0,1,0
194,Platoon,Any%,Platoon - Any%,479.0,1988,33,4,Nintendo Entertainment System,,,,,457.13,,21.870000000000005,4.56576200417537,0,1,0,0,1,0,0,0,1,0,0,0
195,Drill Dozer,Any%,Drill Dozer - Any%,8269.0,2005,16,4,Wii Virtual Console,Action,,Game Freak,Nintendo,6602.03,,1666.9700000000005,20.159269561011,0,1,0,0,1,0,0,0,0,0,0,1
196,Super Glove Ball,Any%,Super Glove Ball - Any%,555.0,1990,31,3,Nintendo Entertainment System,,,,,128.24,,426.76,76.8936936936937,1,0,0,0,1,0,0,0,1,0,0,0
197,Tryrush Deppy,Any%,Tryrush Deppy - Any%,1619.0,1996,25,4,Sega Saturn,Platformer,,System Supply N-Tech,Nihon Create,1301.9,BizHawk,317.0999999999999,19.58616429895,0,1,0,0,1,0,0,0,0,0,1,0
198,Boxxle,Any%,Boxxle - Any%,21790.0,1989,32,1,Game Boy,,,,,17930.2,,3859.7999999999993,17.713630105553,1,0,0,0,1,0,0,0,0,0,0,1
199,Cyborg Hunter,Any%,Cyborg Hunter - Any%,771.0,1988,33,1,Sega Master System,Action,,Sega R&D 2,"Sega, Activision",553.71,,217.29,28.1828793774319,1,0,0,0,1,0,0,0,0,1,0,0
200,Final Zone II,Any%,Final Zone II - Any%,583.0,1990,31,2,TurboGrafx-16 CD-ROM,,,,,487.11,,95.89,16.4476843910806,1,0,0,0,1,0,0,0,1,0,0,0
201,Kung Fu Kid,Any%,Kung Fu Kid - Any%,491.0,1987,34,8,Sega Master System,,,,,483.44,,7.560000000000002,1.53971486761711,0,0,1,0,1,0,0,0,1,0,0,0
202,One Piece Mansion,Any%,One Piece Mansion - Any%,311.0,2001,20,1,PlayStation,"Puzzle, strategy",,Capcom,Capcom,284.45,,26.55000000000001,8.53697749196142,1,0,0,0,1,0,0,0,1,0,0,0
203,Super Adventure Island II,Any%,Super Adventure Island II - Any%,2733.0,1994,27,15,Super Nintendo,2D Platformer,,Hudson Soft,Hudson Soft,2477.22,,255.7800000000002,9.35894621295281,0,0,1,0,1,0,0,0,0,0,0,1
204,Madou King Granzort,Any%,Madou King Granzort - Any%,517.0,1990,31,3,TurboGrafx-16/PC Engine,Action,,Mutech,Hudson Soft,475.91,,41.089999999999975,7.94777562862669,1,0,0,0,1,0,0,0,1,0,0,0
205,Sonic & Knuckles,Knuckles,Sonic & Knuckles - Knuckles,714.0,1994,27,30,GameCube,Action,Sonic 3 modified,Sonic Team,SEGA,692.46,,21.539999999999964,3.01680672268907,0,0,0,1,0,0,1,0,0,1,0,0
206,Ninja Kid,Any%,Ninja Kid - Any%,627.0,1986,35,1,Nintendo Entertainment System,,,,,253.25,,373.75,59.6092503987241,1,0,0,0,1,0,0,0,1,0,0,0
207,Double Dragon III: The Sacred Stones,Any%,Double Dragon III: The Sacred Stones - Any%,853.0,1991,30,19,Nintendo Entertainment System,,,,,603.77,FCEUX,249.23,29.2180539273154,0,0,1,0,1,0,0,0,0,1,0,0
208,Kid Niki: Radical Ninja,Any%,Kid Niki: Radical Ninja - Any%,656.0,1986,35,11,Nintendo Entertainment System,,,,,584.39,,71.61000000000001,10.9161585365854,0,0,1,0,1,0,0,0,1,0,0,0
209,Golden Axe Warrior,Any%,Golden Axe Warrior - Any%,4297.0,1991,30,2,Sega Master System,Action-adventure,,,,1849.1,BizHawk,2447.9,56.967651850128,1,0,0,0,1,0,0,0,0,0,0,1
210,Yu-Gi-Oh! Forbidden Memories,Any%,Yu-Gi-Oh! Forbidden Memories - Any%,4028.0,1999,22,115,PlayStation 2,,,,,2432.2,,1595.8,39.617676266137,0,0,0,1,0,0,0,1,0,0,0,1
211,The Little Mermaid,Any%,The Little Mermaid - Any%,407.291,1991,30,196,Nintendo Entertainment System,,,,,402.23,,5.060999999999979,1.24260049939723,0,0,0,1,0,0,0,1,1,0,0,0
212,Cobra Triangle,Any%,Cobra Triangle - Any%,1029.0,1989,32,12,Nintendo Entertainment System,,,,,1003.73,,25.269999999999985,2.45578231292517,0,0,1,0,1,0,0,0,0,1,0,0
213,Urban Champion,Any%,Urban Champion - Any%,29.084,1986,35,35,Nintendo Entertainment System,,,,,26.84,,2.244,7.71558245083207,0,0,0,1,0,0,0,1,1,0,0,0
214,Rayman Origins,Any%,Rayman Origins - Any%,3173.0,2011,10,17,Nintendo 3DS,Platformer,,Ubisoft Montpellier,Ubisoft Entertainment,2731.3,Dolphin,441.6999999999998,13.9205798928459,0,0,1,0,1,0,0,0,0,0,0,1
215,The Goonies II,Any%,The Goonies II - Any%,923.033,1987,34,53,Nintendo Entertainment System,,,,,653.64,FCEUX,269.393,29.1856304162473,0,0,0,1,0,0,0,1,0,1,0,0
216,The Goonies II,100%,The Goonies II - 100%,1386.0,1987,34,4,Nintendo Entertainment System,,,,,1186.36,,199.6400000000001,14.4040404040404,0,1,0,0,1,0,0,0,0,0,1,0
217,The Battle of Olympus,Any%,The Battle of Olympus - Any%,1649.0,1989,32,2,Nintendo Entertainment System,,,,,595.37,FCEUX,1053.63,63.8950879320801,1,0,0,0,1,0,0,0,0,0,1,0
218,Alex Kidd in Shinobi World,Any%,Alex Kidd in Shinobi World - Any%,431.0,1990,31,12,Wii Virtual Console,Action,,SEGA,SEGA,327.84,BizHawk,103.16000000000004,23.9350348027842,0,0,1,0,1,0,0,0,1,0,0,0
219,Punch-Out!!,Any%,Punch-Out!! - Any%,1289.64,2009,12,4,Wii U,Boxing,,Next Level Games,Nintendo,206.15,,1083.49,84.0149188920939,0,1,0,0,1,0,0,0,0,0,1,0
220,Fire Emblem: Shadow Dragon,Any%,Fire Emblem: Shadow Dragon - Any%,993.0,2009,12,8,Nintendo DS,,,,,527.83,,465.17,46.8449144008056,0,0,1,0,1,0,0,0,0,1,0,0
221,Vice: Project Doom,Any%,Vice: Project Doom - Any%,796.0,1991,30,12,Nintendo Entertainment System,,,,,726.34,FCEUX,69.65999999999997,8.75125628140703,0,0,1,0,1,0,0,0,0,1,0,0
222,The Goonies,Any%,The Goonies - Any%,302.0,1986,35,13,Nintendo Entertainment System,Action-adventure,,Konami,Konami,147.91,,154.09,51.023178807947,0,0,1,0,1,0,0,0,1,0,0,0
223,Faxanadu,Any%,Faxanadu - Any%,1580.0,1987,34,24,Nintendo Entertainment System,Adventure,,Falcom,Hudson Soft,1384.69,BizHawk,195.30999999999997,12.3613924050633,0,0,0,1,0,1,0,0,0,0,1,0
224,Hudson Hawk,Any%,Hudson Hawk - Any%,455.0,1991,30,4,Nintendo Entertainment System,,,,,423.88,,31.120000000000005,6.83956043956044,0,1,0,0,1,0,0,0,1,0,0,0
225,The Legend of Zelda,Any%,The Legend of Zelda - Any%,1656.0,1986,35,43,Nintendo Entertainment System,,,Nintendo,Nintendo,1337.53,,318.47,19.2312801932367,0,0,0,1,0,0,0,1,0,0,1,0
226,An American Tail: Fievel Goes West,Any%,An American Tail: Fievel Goes West - Any%,1064.0,1994,27,4,Super Nintendo,Platform,,Hudson Soft,Hudson Soft,1030.0,,34.0,3.19548872180451,0,1,0,0,1,0,0,0,0,1,0,0
227,Gomola Speed,Any%,Gomola Speed - Any%,2255.0,1990,31,1,TurboGrafx-16/PC Engine,,,,,765.34,BizHawk,1489.66,66.060310421286,1,0,0,0,1,0,0,0,0,0,1,0
228,Mega Man X2,Any%,Mega Man X2 - Any%,1946.0,1994,27,205,Super Nintendo,Platformer,,Capcom,Capcom,1866.34,,79.66000000000008,4.09352517985612,0,0,0,1,0,0,0,1,0,0,1,0
229,The Bugs Bunny Birthday Blowout,Any%,The Bugs Bunny Birthday Blowout - Any%,1558.0,1990,31,11,Nintendo Entertainment System,,,,,1544.26,,13.740000000000007,0.881899871630296,0,0,1,0,1,0,0,0,0,0,1,0
230,Mega Man X3,Any%,Mega Man X3 - Any%,2365.0,1995,26,74,Super Nintendo,Capcom,,Capcom,Capcom,2274.5,,90.5,3.82663847780127,0,0,0,1,0,0,0,1,0,0,0,1
231,Mega Man X3,100%,Mega Man X3 - 100%,2657.0,1995,26,80,Super Nintendo,Capcom,,Capcom,Capcom,2536.24,BizHawk,120.76000000000022,4.54497553631917,0,0,0,1,0,0,0,1,0,0,0,1
232,Rockman EXE WS,Any%,Rockman EXE WS - Any%,785.0,2003,18,7,WonderSwan,Platformer,,Capcom,Capcom,684.95,,100.04999999999995,12.7452229299363,0,1,0,0,1,0,0,0,0,1,0,0
233,Bubble Ghost,Any%,Bubble Ghost - Any%,316.0,1990,31,34,Game Boy,,,Infogrames,,284.22,,31.779999999999973,10.0569620253164,0,0,0,1,0,0,0,1,1,0,0,0
234,Bible Buffet,Any%,Bible Buffet - Any%,377.0,1993,28,13,Nintendo Entertainment System,,,,,213.28,,163.72,43.4270557029178,0,0,1,0,1,0,0,0,1,0,0,0
235,The Flintstones: The Rescue of Dino & Hoppy,Any%,The Flintstones: The Rescue of Dino & Hoppy - Any%,889.0,1991,30,12,Nintendo Entertainment System,,,,,812.54,FCEUX,76.46000000000004,8.60067491563555,0,0,1,0,1,0,0,0,0,1,0,0
236,The Ninja,Any%,The Ninja - Any%,352.0,1986,35,4,Sega Master System,Run and Gun,,SEGA,SEGA,316.54,,35.45999999999998,10.0738636363636,0,1,0,0,1,0,0,0,1,0,0,0
237,Mega Man X,Any%,Mega Man X - Any%,1854.0,1993,28,208,Super Nintendo,Platformer,,Capcom,Capcom,1748.45,,105.54999999999995,5.69309600862999,0,0,0,1,0,0,0,1,0,0,1,0
238,Mega Man X,100%,Mega Man X - 100%,2094.15,1993,28,410,Super Nintendo,Platformer,,Capcom,Capcom,1987.13,,107.01999999999998,5.11042666475658,0,0,0,1,0,0,0,1,0,0,1,0
239,Stuart Little 2,Any%,Stuart Little 2 - Any%,1758.0,2002,19,3,Game Boy Advance,,,,,1378.18,,829.82,37.5824275362319,1,0,0,0,1,0,0,0,0,0,1,0
240,The Combatribes,Any%,The Combatribes - Any%,1444.0,1990,31,3,Super Nintendo,,,,,626.42,,817.58,56.6191135734072,1,0,0,0,1,0,0,0,0,0,1,0
241,Inversion,Any%,Inversion - Any%,7133.0,2012,9,1,PlayStation 3,,,,,318.91,,6814.09,95.5290901443993,1,0,0,0,1,0,0,0,0,0,0,1
242,Pac-Man World 2,Any%,Pac-Man World 2 - Any%,2411.0,2002,19,70,GameCube,,,Namco,Namco,2365.07,Dolphin,45.92999999999984,1.90501866445458,0,0,0,1,0,0,0,1,0,0,0,1
243,Dragon Warrior IV,Any%,Dragon Warrior IV - Any%,21122.0,1990,31,14,Nintendo Entertainment System,JRPG,,Chunsoft,Enix,7086.28,,14035.72,66.4507148944229,0,0,1,0,1,0,0,0,0,0,0,1
244,DinoCity,Any%,DinoCity - Any%,1201.0,1992,29,5,Super Nintendo,,,,,1076.39,,124.6099999999999,10.3755203996669,0,1,0,0,1,0,0,0,0,1,0,0
245,007: Agent Under Fire,00 Agent,007: Agent Under Fire - 00 Agent,2658.0,2001,20,1,GameCube,FPS,id Tech 3,Electronic Arts,Electronic Arts,2210.07,Dolphin,447.92999999999984,16.852144469526,1,0,0,0,1,0,0,0,0,0,0,1
246,Spider-Man 3,Any%,Spider-Man 3 - Any%,6882.0,2007,14,3,PlayStation 3,,,,,824.01,BizHawk,6057.99,88.0265911072363,1,0,0,0,1,0,0,0,0,0,0,1
247,Sonic Advance 2,Knuckles,Sonic Advance 2 - Knuckles,1736.0,2002,19,2,Game Boy Advance,Action,,Sonic Team,SEGA,1232.08,VBA,503.92,29.0276497695853,1,0,0,0,1,0,0,0,0,0,1,0
248,Rockin' Kats,Any%,Rockin' Kats - Any%,1085.0,1991,30,20,Nintendo Entertainment System,,,,,993.71,,91.28999999999996,8.41382488479262,0,0,0,1,1,0,0,0,0,1,0,0
249,Wonder Boy III: The Dragon's Trap,Any%,Wonder Boy III: The Dragon's Trap - Any%,1692.0,1989,32,6,Wii Virtual Console,,,,,1304.16,,387.8399999999999,22.9219858156028,0,1,0,0,1,0,0,0,0,0,1,0
250,Super Star Wars: The Empire Strikes Back,Any%,Super Star Wars: The Empire Strikes Back - Any%,2312.0,1993,28,4,Super Nintendo,,,,,1811.8,,500.2000000000001,21.6349480968858,0,1,0,0,1,0,0,0,0,0,1,0
