game,category,game+category,TAS_time(seconds)
Lucky Luke: On the Daltons' Trail,Any%,Lucky Luke: On the Daltons' Trail - Any%,2549.35
Mega Man: Dr. Wily's Revenge,Any%,Mega Man: Dr. Wily's Revenge - Any%,1018.11
Angry Birds,Any%,Angry Birds - Any%,1232.45
Adventures of Lolo 3,Any%,Adventures of Lolo 3 - Any%,4028.7
Pokémon Puzzle Challenge,"Puzzle mode, all levels","Pokémon Puzzle Challenge - Puzzle mode, all levels",2681.01
Tetris Attack,"Puzzle mode, all levels","Tetris Attack - Puzzle mode, all levels",2212.74
Zool: Ninja of the,Nth,Zool: Ninja of the - Nth,21.61
Suzuki Bakuhatsu,all bombs,Suzuki Bakuhatsu - all bombs,2033.77
The Adventures of Pinocchio,game end glitch,The Adventures of Pinocchio - game end glitch,14.8
Zombies Ate My Neighbors,all victims saved,Zombies Ate My Neighbors - all victims saved,2578.9
Delta Warp,Any%,Delta Warp - Any%,2363.95
Mega Man 4 Voyage,Any%,Mega Man 4 Voyage - Any%,2386.94
Rockman 4 Burst Chaser × Air Sliding,Any%,Rockman 4 Burst Chaser × Air Sliding - Any%,1297.66
After Burst,Normal mode,After Burst - Normal mode,894.94
Tekken 3,Any%,Tekken 3 - Any%,134.49
Pokémon: Blue ,Any%,Pokémon: Blue  - Any%,5375.61
1001 Spikes,"4 players, all skulls","1001 Spikes - 4 players, all skulls",1357.15
1001 Spikes,1 player,1001 Spikes - 1 player,1894.15
Pocket Monsters: White Jade Version,Any%,Pocket Monsters: White Jade Version - Any%,2199.51
Castlevania: Portrait of Ruin,1000%,Castlevania: Portrait of Ruin - 1000%,2291.56
Prince of Persia,Any%,Prince of Persia - Any%,976.06
Altered Beast,2 players,Altered Beast - 2 players,365.29
Altered Beast,1 player,Altered Beast - 1 player,381.57
Tony Hawk's Pro Skater,replay glitch,Tony Hawk's Pro Skater - replay glitch,131.92
After Burst,1P VS mode,After Burst - 1P VS mode,335.0
Mega Man Zero 3,100%,Mega Man Zero 3 - 100%,3767.71
Tomb Raider: The Last Revelation,Any%,Tomb Raider: The Last Revelation - Any%,3743.4
Advanced Dungeons & Dragons: Treasure of Tarmin,Any%,Advanced Dungeons & Dragons: Treasure of Tarmin - Any%,48.97
The Magic of Scheherazade,Any%,The Magic of Scheherazade - Any%,2878.71
Urusei Yatsura: Lum no Wedding Bell,Any%,Urusei Yatsura: Lum no Wedding Bell - Any%,565.74
Undertale,Genocide ending,Undertale - Genocide ending,3490.93
Sonic Heroes,Team Sonic,Sonic Heroes - Team Sonic,2161.23
Animorphs: Shattered Reality,Any%,Animorphs: Shattered Reality - Any%,1736.65
Super Mario World,warps,Super Mario World - warps,594.35
Adventures of Lolo,Any%,Adventures of Lolo - Any%,1344.42
Ultima: Warriors of Destiny,Any%,Ultima: Warriors of Destiny - Any%,1229.79
Doom Troopers: Mutant Chronicles,2 players,Doom Troopers: Mutant Chronicles - 2 players,362.82
Earthworm Jim 3D,game end glitch,Earthworm Jim 3D - game end glitch,49.85
Armored Core,Any%,Armored Core - Any%,1684.38
Tapper,Any%,Tapper - Any%,364.92
Romance of the Three Kingdoms II,save glitch,Romance of the Three Kingdoms II - save glitch,153.0
The Mutant Virus: Crisis in a Computer World,Any%,The Mutant Virus: Crisis in a Computer World - Any%,1077.21
Jackal,2 players,Jackal - 2 players,430.82
Jackal,1 player,Jackal - 1 player,445.98
Cabbage Patch Kids: Adventures in the Park,Any%,Cabbage Patch Kids: Adventures in the Park - Any%,138.78
Mega Man,Any%,Mega Man - Any%,585.35
Hammerin' Harry,Any%,Hammerin' Harry - Any%,405.9
Alter Ego,Any%,Alter Ego - Any%,395.62
DK: King of Swing,200%+,DK: King of Swing - 200%+,4568.11
River City Ransom,playaround,River City Ransom - playaround,775.38
Miniature Golf,Any%,Miniature Golf - Any%,60.28
Heart of Darkness,Any%,Heart of Darkness - Any%,1547.12
Fantasy Zone,Any%,Fantasy Zone - Any%,237.31
Donkey Kong Country,Any%,Donkey Kong Country - Any%,444.68
Alex Kidd: High-Tech World,Any%,Alex Kidd: High-Tech World - Any%,399.16
Cross Fire,Any%,Cross Fire - Any%,274.73
Cross Fire,"pacifist, no damage","Cross Fire - pacifist, no damage",356.36
Pink Panther in Pink Goes to Hollywood,Any%,Pink Panther in Pink Goes to Hollywood - Any%,538.23
Battle Kid 2: Mountain of Torment,100%,Battle Kid 2: Mountain of Torment - 100%,2758.69
Rocket Knight Adventures,Any%,Rocket Knight Adventures - Any%,1638.13
Darkwing Duck,"pacifist, no subweapons","Darkwing Duck - pacifist, no subweapons",755.66
The Legend of Zelda: Link's Awakening,playaround,The Legend of Zelda: Link's Awakening - playaround,2422.78
The Lion King,Any%,The Lion King - Any%,309.1
Milon's Secret Castle,Any%,Milon's Secret Castle - Any%,328.43
Esper Dream,Any%,Esper Dream - Any%,2406.67
Hexcite: The Shapes of Victory,Practice Mode,Hexcite: The Shapes of Victory - Practice Mode,1227.89
Marko's Magic Football,Any%,Marko's Magic Football - Any%,650.4
Battletoads,Any%,Battletoads - Any%,532.28
Sparkster,100%,Sparkster - 100%,1629.55
Cheetahmen II,all levels,Cheetahmen II - all levels,207.66
Mega Man Xtreme,Extreme mode,Mega Man Xtreme - Extreme mode,1682.99
Space Monsters Meet the Hardy,Any%,Space Monsters Meet the Hardy - Any%,630.43
Aliens: Neoplasma,Any%,Aliens: Neoplasma - Any%,1043.31
Star Wars,Any%,Star Wars - Any%,473.35
Kwirk,Going Up?,Kwirk - Going Up?,946.03
Double Dragon II: The Revenge,Any%,Double Dragon II: The Revenge - Any%,717.73
Bubba 'n' Stix,Any%,Bubba 'n' Stix - Any%,829.98
Monopoly,Any%,Monopoly - Any%,29.54
Mitsume ga Tooru,Any%,Mitsume ga Tooru - Any%,971.17
Bob,Any%,Bob - Any%,206.03
Who Framed Roger Rabbit,Any%,Who Framed Roger Rabbit - Any%,228.11
Spirou: The Robot Invasion,Any%,Spirou: The Robot Invasion - Any%,1054.46
DK: King of Swing,Any%,DK: King of Swing - Any%,1054.47
Super Mario Bros. 2,warpless,Super Mario Bros. 2 - warpless,1109.26
Shatterhand,Any%,Shatterhand - Any%,1063.23
Astérix,Any%,Astérix - Any%,343.05
Ultimate Mortal Kombat 3,Tournament Mode,Ultimate Mortal Kombat 3 - Tournament Mode,235.5
Wolverine: Adamantium Rage,Any%,Wolverine: Adamantium Rage - Any%,647.68
Gimmick!,100%,Gimmick! - 100%,464.45
Tom and Jerry: Frantic Antics!,Any%,Tom and Jerry: Frantic Antics! - Any%,535.29
Wario Land 4,Any%,Wario Land 4 - Any%,2404.88
Vectorman,Any%,Vectorman - Any%,666.6
Super Bomberman 4,Any%,Super Bomberman 4 - Any%,1081.48
Instruments of Chaos starring Young Indiana Jones,Any%,Instruments of Chaos starring Young Indiana Jones - Any%,544.58
Princess Rescue,deathless,Princess Rescue - deathless,382.56
Advance Wars 2: Black Hole Rising,Any%,Advance Wars 2: Black Hole Rising - Any%,4101.25
Princess Rescue,Any%,Princess Rescue - Any%,368.42
Crazy Balloon,Any%,Crazy Balloon - Any%,234.12
Halo 2600,Any%,Halo 2600 - Any%,7.54
Enduro Racer,Any%,Enduro Racer - Any%,612.84
Battle Kid: Fortress of Peril,pause glitch,Battle Kid: Fortress of Peril - pause glitch,1025.28
Decathlon,maximum score,Decathlon - maximum score,575.02
Celeste,100%,Celeste - 100%,5256.12
Oddworld: Abe's Exoddus,100%,Oddworld: Abe's Exoddus - 100%,8144.12
You Have to Win the Game,Any%,You Have to Win the Game - Any%,286.58
Sonic 3 & Knuckles,"ring attack, newgame+","Sonic 3 & Knuckles - ring attack, newgame+",5171.12
Old Tower,Any%,Old Tower - Any%,779.87
The Legend of Zelda: Link's Awakening DX,warp glitch,The Legend of Zelda: Link's Awakening DX - warp glitch,313.06
Spyro: Year of the Dragon,Any%,Spyro: Year of the Dragon - Any%,1355.17
Super Donkey Kong 2,Any%,Super Donkey Kong 2 - Any%,131.63
Power Blade,Any%,Power Blade - Any%,834.01
X-COM: UFO Defense,Any%,X-COM: UFO Defense - Any%,884.04
Rescue: The Embassy Mission,Any%,Rescue: The Embassy Mission - Any%,73.25
Wild Guns,Any%,Wild Guns - Any%,1147.55
Skate or Die!,Any%,Skate or Die! - Any%,139.37
LEGO Bionicle,Any%,LEGO Bionicle - Any%,427.16
Teenage Mutant Ninja Turtles,Any%,Teenage Mutant Ninja Turtles - Any%,944.93
Splatterhouse 2,Any%,Splatterhouse 2 - Any%,862.24
Resident Evil 4,The Mercenaries: Village,Resident Evil 4 - The Mercenaries: Village,432.37
Mario & Luigi: Bowser's Inside Story,Any%,Mario & Luigi: Bowser's Inside Story - Any%,17389.35
Monster World IV,Any%,Monster World IV - Any%,3910.64
The Legendary Axe II,Any%,The Legendary Axe II - Any%,705.73
Junction,Any%,Junction - Any%,837.09
Trials of Mana,game end glitch,Trials of Mana - game end glitch,654.47
L'Empereur,save glitch,L'Empereur - save glitch,112.08
Dragon Warrior,Any%,Dragon Warrior - Any%,1019.57
Warriors of Fate,Any%,Warriors of Fate - Any%,1112.7
Contra Force,Any%,Contra Force - Any%,596.0
Super Tempo,Any%,Super Tempo - Any%,2905.6
NFL Street,NFL Challenge,NFL Street - NFL Challenge,4460.35
Dr. Mario,all levels,Dr. Mario - all levels,343.0
Dr. Mario,Any%,Dr. Mario - Any%,72.83
Mega Man 2,zipless,Mega Man 2 - zipless,1636.17
Super Monkey Ball Adventure,Story Mode,Super Monkey Ball Adventure - Story Mode,2619.95
Sonic 3D Blast,Any%,Sonic 3D Blast - Any%,1449.8
Jumpman Junior,Any%,Jumpman Junior - Any%,277.19
The California Raisins: The Grape Escape,Any%,The California Raisins: The Grape Escape - Any%,255.83
Virtual Boy Wario Land,Any%,Virtual Boy Wario Land - Any%,1047.33
Monty on the Run,Any%,Monty on the Run - Any%,723.84
No One Can Stop Mr. Domino,Any%,No One Can Stop Mr. Domino - Any%,677.59
Donkey Kong Country 2,Any%,Donkey Kong Country 2 - Any%,3011.76
Final Fantasy V,game end glitch,Final Fantasy V - game end glitch,448.13
Rush'n Attack,Any%,Rush'n Attack - Any%,575.3
La,Any%,La - Any%,1113.96
Undertale,True Pacifist ending,Undertale - True Pacifist ending,4804.3
Super Monkey Ball: Touch & Roll,Challenge Mode,Super Monkey Ball: Touch & Roll - Challenge Mode,1579.51
Super Mario Land 2: 6 Golden Coins,Any%,Super Mario Land 2: 6 Golden Coins - Any%,1249.86
Phantasy Star,Any%,Phantasy Star - Any%,6956.04
Star Control,"Melee mode, Alliance","Star Control - Melee mode, Alliance",103.1
Ninja Spirit,Any%,Ninja Spirit - Any%,531.14
Banjo-Kazooie: Grunty's Revenge,100%,Banjo-Kazooie: Grunty's Revenge - 100%,3531.19
Donald Land,Any%,Donald Land - Any%,516.13
Final Fantasy VII,Any%,Final Fantasy VII - Any%,23691.32
Super Mario Bros. 3,game end glitch,Super Mario Bros. 3 - game end glitch,0.78
Mickey's Adventures in Numberland,Any%,Mickey's Adventures in Numberland - Any%,555.62
Legend of Hero Tonma,Any%,Legend of Hero Tonma - Any%,299.28
Tekken 2,Any%,Tekken 2 - Any%,94.51
Jewel Master,Any%,Jewel Master - Any%,554.73
Turok: Evolution,Any%,Turok: Evolution - Any%,1124.83
Pitfall II: Lost Caverns,maximum score,Pitfall II: Lost Caverns - maximum score,565.75
Pitfall II: Lost Caverns,Any%,Pitfall II: Lost Caverns - Any%,242.83
Panic Restaurant,Any%,Panic Restaurant - Any%,792.7
The Legend of Zelda: Link's Awakening DX,Any%,The Legend of Zelda: Link's Awakening DX - Any%,1675.02
Pokémon: Crystal ,Any%,Pokémon: Crystal  - Any%,10116.03
Disney's 102 Dalmatians: Puppies To The Rescue,Any%,Disney's 102 Dalmatians: Puppies To The Rescue - Any%,1091.99
Space Station Silicon Valley,Any%,Space Station Silicon Valley - Any%,3416.45
Gargoyle's Quest II: The Demon Darkness,Any%,Gargoyle's Quest II: The Demon Darkness - Any%,1547.62
Super Metroid,100%,Super Metroid - 100%,3707.03
VVVVVV,Any%,VVVVVV - Any%,349.86
Axiom Verge,Any%,Axiom Verge - Any%,1488.86
Solomon's Key,Any%,Solomon's Key - Any%,691.68
Soul Blade,Any%,Soul Blade - Any%,187.19
Forbidden Forest,Any%,Forbidden Forest - Any%,444.69
Duck Hunt,Game B,Duck Hunt - Game B,711.6
Duck Hunt,Any%,Duck Hunt - Any%,106.82
Road Runner,Any%,Road Runner - Any%,810.84
Metroid: Zero Mission,100%,Metroid: Zero Mission - 100%,3673.92
Pitfall!,Any%,Pitfall! - Any%,1091.2
Sunset Riders,2 players,Sunset Riders - 2 players,594.41
Contra 4,all levels,Contra 4 - all levels,3675.52
Contra 4,Any%,Contra 4 - Any%,1351.42
Battle City: Zeng Ge Hack,Any%,Battle City: Zeng Ge Hack - Any%,593.19
Strider,Any%,Strider - Any%,184.56
The Incredible Hulk,Any%,The Incredible Hulk - Any%,730.75
EarthBound Beginnings,warp glitch,EarthBound Beginnings - warp glitch,1379.91
Montezuma's Revenge,all items,Montezuma's Revenge - all items,336.12
Super Mario World,game end glitch,Super Mario World - game end glitch,41.68
Pyjamarama,Any%,Pyjamarama - Any%,645.96
Beetlejuice,Any%,Beetlejuice - Any%,433.79
The Human Race,Any%,The Human Race - Any%,548.27
Castelian,Any%,Castelian - Any%,838.29
Ikari Warriors,Any%,Ikari Warriors - Any%,1539.33
The Great Waldo Search,Any%,The Great Waldo Search - Any%,64.68
Punchy,Any%,Punchy - Any%,599.3
Smurf: Rescue in Gargamel's Castle,all skills,Smurf: Rescue in Gargamel's Castle - all skills,209.1
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Any%,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Any%,2553.73
Mario Pinball Land,Any%,Mario Pinball Land - Any%,420.41
Montezuma's Revenge,Any%,Montezuma's Revenge - Any%,169.44
Hogs of War,Any%,Hogs of War - Any%,3166.73
Kyatto Ninden Teyandee,Any%,Kyatto Ninden Teyandee - Any%,519.53
Iji,Any%,Iji - Any%,1652.13
Rockman: Spirits of Hackers,Any%,Rockman: Spirits of Hackers - Any%,1796.87
Meteos,"Multi Star Trip, best ending","Meteos - Multi Star Trip, best ending",410.39
Iji,all collectables,Iji - all collectables,2524.17
The Cowlitz Gamers' 2nd Adventure,2 players,The Cowlitz Gamers' 2nd Adventure - 2 players,469.48
FireStriker,2 players,FireStriker - 2 players,497.66
Tomb Raider II: Starring Lara Croft,glitchless,Tomb Raider II: Starring Lara Croft - glitchless,5270.03
Wonder Boy in Monster World,Any%,Wonder Boy in Monster World - Any%,1104.76
Minit,Any%,Minit - Any%,434.88
Sonic 3D Blast,best ending,Sonic 3D Blast - best ending,2155.61
Donkey Kong Country,"all stages, walkathon","Donkey Kong Country - all stages, walkathon",2469.1
Castlevania: Portrait of Ruin,Old Axe Armor mode,Castlevania: Portrait of Ruin - Old Axe Armor mode,1156.43
Grand Theft Auto 2,Any%,Grand Theft Auto 2 - Any%,258.63
Shinobi III: Return of the Ninja Master,Any%,Shinobi III: Return of the Ninja Master - Any%,1301.59
Sonic Advance,"Knuckles, no Ultraspindash","Sonic Advance - Knuckles, no Ultraspindash",794.31
Sonic Advance,"Knuckles, No Ultraspindash","Sonic Advance - Knuckles, No Ultraspindash",795.04
Disney's Bonkers,Any%,Disney's Bonkers - Any%,836.61
Jurassic Park,Grant,Jurassic Park - Grant,327.17
Indiana Jones and the Last Crusade,Any%,Indiana Jones and the Last Crusade - Any%,489.73
Arkanoid,warpless,Arkanoid - warpless,671.18
Chip 'n Dale: Rescue Rangers 2,2 players,Chip 'n Dale: Rescue Rangers 2 - 2 players,604.94
Super Monkey Ball Adventure,Challenge Mode,Super Monkey Ball Adventure - Challenge Mode,728.25
Star Voyager,Any%,Star Voyager - Any%,809.53
Ty the Tasmanian Tiger 2: Bush Rescue,Any%,Ty the Tasmanian Tiger 2: Bush Rescue - Any%,898.41
Iji,"Ultimortal difficulty, no damage","Iji - Ultimortal difficulty, no damage",2485.4
Code Name: Viper,Any%,Code Name: Viper - Any%,656.62
Donkey Kong Land III,Any%,Donkey Kong Land III - Any%,1871.33
James Pond 2: Codename: RoboCod,all levels,James Pond 2: Codename: RoboCod - all levels,1571.26
James Pond 2: Codename: RoboCod,Any%,James Pond 2: Codename: RoboCod - Any%,1460.46
Kuru Kuru Kururin,Any%,Kuru Kuru Kururin - Any%,371.59
Tetris Party Deluxe,sprint,Tetris Party Deluxe - sprint,43.04
Tobu Tobu Girl,all levels,Tobu Tobu Girl - all levels,162.92
Shadowgate,Any%,Shadowgate - Any%,257.09
Snoopy,Any%,Snoopy - Any%,525.91
DecapAttack,Any%,DecapAttack - Any%,1176.5
Donkey Kong Jr.,Any%,Donkey Kong Jr. - Any%,63.84
The Immortal,Any%,The Immortal - Any%,565.37
Super Mario Bros. 3,warps,Super Mario Bros. 3 - warps,624.34
Nim & Nom,2 players,Nim & Nom - 2 players,319.92
Disney's Magical Quest 3 Starring Mickey & Donald,2 players,Disney's Magical Quest 3 Starring Mickey & Donald - 2 players,1470.49
The Rat,Any%,The Rat - Any%,270.82
Super Mario All-Stars: Super Mario Bros. 3,warps,Super Mario All-Stars: Super Mario Bros. 3 - warps,623.51
Top Gear,Any%,Top Gear - Any%,5254.66
Portal,Any%,Portal - Any%,228.5
The Lion King 2,Any%,The Lion King 2 - Any%,474.96
Riviera: The Promised Land,Any%,Riviera: The Promised Land - Any%,11582.05
Moai-kun,Any%,Moai-kun - Any%,776.44
Mario Party,Mini-Game Island,Mario Party - Mini-Game Island,2098.08
The GG Shinobi,all upgrades,The GG Shinobi - all upgrades,557.93
Batman: The Caped Crusader,The Joker: A Fete Worse than Death,Batman: The Caped Crusader - The Joker: A Fete Worse than Death,426.62
Turnabout,Any%,Turnabout - Any%,2483.44
Krusty's Super Fun House,Any%,Krusty's Super Fun House - Any%,4260.7
Lizard,Any%,Lizard - Any%,1083.98
Warlock,Any%,Warlock - Any%,1332.02
Sonic the Hedgehog,Any%,Sonic the Hedgehog - Any%,877.63
Shrek: Fairy Tale Freakdown,Any%,Shrek: Fairy Tale Freakdown - Any%,172.18
Little Red Hood,Any%,Little Red Hood - Any%,334.17
Chiki Chiki Boys,Any%,Chiki Chiki Boys - Any%,921.19
Cabbage Patch Kids: The Patch Puppy Rescue,Any%,Cabbage Patch Kids: The Patch Puppy Rescue - Any%,360.6
Super C,pacifist,Super C - pacifist,749.95
Secret Agent Barbie: Royal Jewels Mission,Any%,Secret Agent Barbie: Royal Jewels Mission - Any%,821.68
Super Ghouls 'n Ghosts,Arrange Mode,Super Ghouls 'n Ghosts - Arrange Mode,564.8
Pokémon: Yellow ,game end glitch,Pokémon: Yellow  - game end glitch,587.92
Pokémon: Blue ,warp glitch,Pokémon: Blue  - warp glitch,612.0
Pokémon: Red ,Brock through walls,Pokémon: Red  - Brock through walls,1322.94
Pokémon: Red ,warp glitch,Pokémon: Red  - warp glitch,2462.38
Pokémon: Blue ,trainer escape glitch,Pokémon: Blue  - trainer escape glitch,4738.78
Pokémon: Red ,trainer escape glitch,Pokémon: Red  - trainer escape glitch,6118.52
Double Dragon,Any%,Double Dragon - Any%,170.69
Celeste,Any%,Celeste - Any%,1624.43
The Legend of Zelda: A Link to the Past,game end glitch,The Legend of Zelda: A Link to the Past - game end glitch,54.53
The Legend of Zelda: A Link to the Past,warp glitch,The Legend of Zelda: A Link to the Past - warp glitch,133.21
The Legend of Zelda: Twilight Princess,Any%,The Legend of Zelda: Twilight Princess - Any%,9886.77
Mari0,Portal mappack,Mari0 - Portal mappack,185.23
F-Zero: Maximum Velocity,Grand Prix Pawn,F-Zero: Maximum Velocity - Grand Prix Pawn,662.68
Violent Storm,2 players,Violent Storm - 2 players,634.72
Wii Sports,"Golf, 9-Hole Game","Wii Sports - Golf, 9-Hole Game",213.4
The Hitchhiker's Guide to the Galaxy,Any%,The Hitchhiker's Guide to the Galaxy - Any%,12.68
Tobal 2,Any%,Tobal 2 - Any%,170.61
The Legend of Zelda: A Link to the Past,full inventory,The Legend of Zelda: A Link to the Past - full inventory,3172.44
Top Gear,one track,Top Gear - one track,231.17
The Addams Family,Any%,The Addams Family - Any%,172.76
Vandal Hearts,Any%,Vandal Hearts - Any%,15751.46
Disney's The Little Mermaid,Any%,Disney's The Little Mermaid - Any%,397.58
The Krion Conquest,Any%,The Krion Conquest - Any%,732.74
Contra: Hard Corps,best ending,Contra: Hard Corps - best ending,1045.56
Club Penguin: Elite Penguin Force,Any%,Club Penguin: Elite Penguin Force - Any%,1712.28
Phantasy Star IV,macro glitch,Phantasy Star IV - macro glitch,1233.04
Bonk's Adventure,Any%,Bonk's Adventure - Any%,1284.54
Mr. Driller 2,Time Attack,Mr. Driller 2 - Time Attack,446.75
Doom 64,Any%,Doom 64 - Any%,1434.9
Toto World 3,Any%,Toto World 3 - Any%,582.08
Metal Gear,Any%,Metal Gear - Any%,1344.55
Shadow Blasters,Any%,Shadow Blasters - Any%,431.06
Castlevania: Circle of the Moon,all cards,Castlevania: Circle of the Moon - all cards,1170.0
Jumpin' Kid: Jack to Mame no Ki Monogatari,Any%,Jumpin' Kid: Jack to Mame no Ki Monogatari - Any%,332.45
Castlevania II: Belmont's Revenge,Any%,Castlevania II: Belmont's Revenge - Any%,1481.18
Mega Man II,Any%,Mega Man II - Any%,1018.79
Crystal Beans from Dungeon Explorer,Any%,Crystal Beans from Dungeon Explorer - Any%,1797.89
Bomberman 64: The Second Attack,Challenge Battle mode,Bomberman 64: The Second Attack - Challenge Battle mode,5761.6
Castlevania: Circle of the Moon,warp glitch,Castlevania: Circle of the Moon - warp glitch,319.25
Contra: Hard Corps,Any%,Contra: Hard Corps - Any%,841.73
TMNT: Mutant Melee,100%,TMNT: Mutant Melee - 100%,9758.18
The Young Indiana Jones Chronicles,Any%,The Young Indiana Jones Chronicles - Any%,650.83
Jurassic Park: Rampage Edition,Grant,Jurassic Park: Rampage Edition - Grant,159.84
Harry Potter 2: The Black Art Wtrstle Edition,Any%,Harry Potter 2: The Black Art Wtrstle Edition - Any%,530.01
TowerFall Ascension,"all trials, 1000 fps","TowerFall Ascension - all trials, 1000 fps",206.75
MK5: Mortal Combat - Sub Zero,Any%,MK5: Mortal Combat - Sub Zero - Any%,774.68
Toki,Any%,Toki - Any%,591.81
Dahna: Megami Tanjou,Any%,Dahna: Megami Tanjou - Any%,780.89
Comix Zone,Any%,Comix Zone - Any%,518.67
SteamWorld Dig 2,Any%,SteamWorld Dig 2 - Any%,1091.87
Newer Super Mario Bros. DS,100%,Newer Super Mario Bros. DS - 100%,8140.51
Castlevania: Aria of Sorrow,warp glitch,Castlevania: Aria of Sorrow - warp glitch,307.56
Super Mario 64 DS,jumpless,Super Mario 64 DS - jumpless,3305.13
Sewer Sam,Any%,Sewer Sam - Any%,174.05
Quest for Glory II: Trial,Any%,Quest for Glory II: Trial - Any%,538.98
Sonic the Hedgehog,Max Special Bonus,Sonic the Hedgehog - Max Special Bonus,1227.28
Wait and See!,Any%,Wait and See! - Any%,522.99
Contra III: The Alien Wars,game end glitch,Contra III: The Alien Wars - game end glitch,200.38
Miner 2049er,Any%,Miner 2049er - Any%,456.61
The Addams Family,all bosses,The Addams Family - all bosses,773.39
NiGHTS into Dreams...,all levels,NiGHTS into Dreams... - all levels,1166.62
Völgarr the Viking,best ending,Völgarr the Viking - best ending,873.8
Robot Wars: Extreme Destruction,Tournament mode,Robot Wars: Extreme Destruction - Tournament mode,320.92
The Conduit,Any%,The Conduit - Any%,2746.7
3-D Tetris,Puzzle,3-D Tetris - Puzzle,904.15
Shovel Knight,Specter of Torment,Shovel Knight - Specter of Torment,2104.23
Takeshi no Chousenjou,warp glitch,Takeshi no Chousenjou - warp glitch,231.14
The Incredible Crash Dummies,Any%,The Incredible Crash Dummies - Any%,583.33
Shovel Knight,Plague of Shadows,Shovel Knight - Plague of Shadows,2123.97
Shovel Knight,Shovel of Hope,Shovel Knight - Shovel of Hope,2377.68
Bonanza Bros.,Any%,Bonanza Bros. - Any%,501.73
Rockman & Forte: Mirai Kara no Chousensha,Forte,Rockman & Forte: Mirai Kara no Chousensha - Forte,1057.3
Castlevania II: Simon's Quest,warp glitch,Castlevania II: Simon's Quest - warp glitch,335.71
Disney's Lilo & Stitch,Any%,Disney's Lilo & Stitch - Any%,1179.34
Mario & Luigi: Partners in Time,Any%,Mario & Luigi: Partners in Time - Any%,6776.29
"Donkey Kong, DK Jr., DK 3 & DK Jr. Math",Any%,"Donkey Kong, DK Jr., DK 3 & DK Jr. Math - Any%",78.39
Donkey Kong & Donkey Kong Jr.,Any%,Donkey Kong & Donkey Kong Jr. - Any%,82.38
Smurf: Rescue in Gargamel's Castle,Any%,Smurf: Rescue in Gargamel's Castle - Any%,126.35
Golden Axe,The Duel,Golden Axe - The Duel,182.9
The Adventures of Star Saver,Any%,The Adventures of Star Saver - Any%,492.25
Cocoron,Any%,Cocoron - Any%,822.76
Tinhead,Any%,Tinhead - Any%,1066.24
Metal Slug: 2nd Mission,Any%,Metal Slug: 2nd Mission - Any%,901.71
Disney Adventures in the Magic Kingdom,Any%,Disney Adventures in the Magic Kingdom - Any%,596.98
Pac-Man World,Any%,Pac-Man World - Any%,1269.52
New Super Mario Bros.,warpless,New Super Mario Bros. - warpless,2374.6
Castlevania: Spectral Interlude,100%,Castlevania: Spectral Interlude - 100%,2073.12
Tomb Raider III: Adventures of Lara Croft,Any%,Tomb Raider III: Adventures of Lara Croft - Any%,3651.08
Shinobi Legions,Any%,Shinobi Legions - Any%,1275.08
EarthBound,inbounds,EarthBound - inbounds,11411.57
Super Metroid,game end glitch,Super Metroid - game end glitch,402.54
Super Metroid,X-Ray glitch,Super Metroid - X-Ray glitch,1285.12
Super Metroid,"GT code, game end glitch","Super Metroid - GT code, game end glitch",892.88
Tomb Raider Chronicles,Any%,Tomb Raider Chronicles - Any%,4376.26
Valkyrie Profile,save glitch,Valkyrie Profile - save glitch,1059.49
Conan: The Mysteries of Time,Any%,Conan: The Mysteries of Time - Any%,299.77
Pepsiman: The Running Hero,100%,Pepsiman: The Running Hero - 100%,1211.04
Hagane: The Final Conflict,Any%,Hagane: The Final Conflict - Any%,792.84
Private Eye,Any%,Private Eye - Any%,1792.99
Private Eye,Case 5,Private Eye - Case 5,893.28
Aero the Acro-Bat 2,Any%,Aero the Acro-Bat 2 - Any%,1390.64
Kir,best ending,Kir - best ending,3841.22
Sonic La,best ending,Sonic La - best ending,915.91
I Want My Mommy,Any%,I Want My Mommy - Any%,72.31
Friday the 13th,Any%,Friday the 13th - Any%,142.93
Sonic the Hedgehog 3,Competition,Sonic the Hedgehog 3 - Competition,121.05
New Super Mario Bros. Wii,100%,New Super Mario Bros. Wii - 100%,10713.27
City Connection,warps,City Connection - warps,621.99
City Connection,warpless,City Connection - warpless,275.6
Cliffhanger,Any%,Cliffhanger - Any%,415.12
Wild Arms,Any%,Wild Arms - Any%,4052.68
Jill of the Jungle: Volume III - Jill Saves the Prince,Any%,Jill of the Jungle: Volume III - Jill Saves the Prince - Any%,793.36
Cadash,2 players,Cadash - 2 players,934.65
Cadash,1 player,Cadash - 1 player,1315.23
The Addams Family: Pugsley's Scavenger Hunt,Any%,The Addams Family: Pugsley's Scavenger Hunt - Any%,517.6
Adventures of Lolo 2,Any%,Adventures of Lolo 2 - Any%,1395.47
Super Mario Land 2: 6 Golden Coins,game end glitch,Super Mario Land 2: 6 Golden Coins - game end glitch,46.08
Sonic Spinball,Any%,Sonic Spinball - Any%,319.86
Little Samson,warps,Little Samson - warps,492.79
Mickey Mania: The Timeless Adventures of Mickey Mouse,Any%,Mickey Mania: The Timeless Adventures of Mickey Mouse - Any%,994.28
